goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
6,2,0,94,47.72,89,57.42,21,43.75,22,2,70.47,183,51.99,2049,53,38,35,24,0,0,0,28,1,0,0,0,0,115,6,327,19,8,17.02,19,82.61,7,30,11,13,53,20,8,11.32,4,9,10.84,0,0,0,Issa Soumaré,Le Havre,1001458,1662,France Ligue 1
1,6,0,108,60.67,11,44.0,15,57.69,61,0,84.62,119,58.62,1807,33,27,16,22,0,0,0,21,3,0,0,0,0,205,3,809,29,24,28.57,59,60.82,25,22,19,1,20,5,5,5.0,0,1,1.63,0,2,1,Cristian Cásseres Jr.,Toulouse,878938,1681,France Ligue 1
7,5,0,90,43.48,9,33.33,40,48.19,20,3,78.63,99,42.31,1920,30,17,47,24,0,0,0,13,6,0,0,0,0,277,11,677,52,40,28.99,34,54.84,8,7,13,10,55,21,11,12.73,0,5,9.65,0,2,1,Florian Thauvin,RC Lens,148824,1648,France Ligue 1
1,5,0,38,62.3,29,74.36,3,60.0,24,0,91.21,67,67.0,1535,12,12,1,19,0,0,0,20,2,0,0,0,0,117,0,1038,7,1,14.29,84,64.62,27,61,8,0,8,2,4,12.5,0,0,1.0,0,1,0,Aïssa Mandi,Lille,122810,1643,France Ligue 1
1,0,0,6,50.0,0,0.0,5,71.43,0,0,84.38,6,42.86,179,1,0,3,2,0,0,0,0,0,0,0,0,0,9,0,27,0,0,0.0,1,100.0,1,0,1,0,10,4,2,10.0,0,1,1.06,0,0,0,Georges Mikautadze,Olympique Lyonnais,1009372,1649,France Ligue 1
1,4,0,84,52.5,18,52.94,15,57.69,51,2,88.47,102,52.58,1935,18,36,15,22,0,0,0,24,5,0,0,0,0,349,6,1228,28,1,9.09,36,55.38,23,38,17,0,17,6,5,5.88,1,0,0.81,0,3,0,Valentin Rongier,Stade Rennais,581314,1658,France Ligue 1
2,7,0,77,55.8,65,56.52,8,50.0,43,1,82.53,142,56.13,1700,29,28,19,19,0,0,0,14,2,0,0,0,0,264,1,855,19,3,25.0,46,67.65,24,30,13,0,22,4,7,9.09,0,2,2.44,0,0,0,Benjamin André,Lille,51665,1643,France Ligue 1
2,1,0,39,58.21,0,0.0,7,35.0,11,1,80.0,39,54.93,726,21,11,3,9,0,0,0,7,0,0,0,0,0,71,3,164,9,7,29.17,4,40.0,3,2,2,4,18,9,7,11.11,0,3,2.71,0,0,0,Malick Fofana,Olympique Lyonnais,1195784,1649,France Ligue 1
4,3,0,11,42.31,5,100.0,2,33.33,0,2,81.4,16,51.61,414,9,10,1,7,0,0,0,3,1,0,0,0,0,8,2,35,3,0,0.0,1,100.0,0,5,0,2,16,8,4,25.0,0,3,3.6,0,1,0,Emmanuel Emegha,RC Strasbourg,1048333,1659,France Ligue 1
1,1,0,23,53.49,6,54.55,4,57.14,11,0,83.71,29,53.7,473,9,6,6,7,0,0,0,9,4,0,0,0,0,82,1,262,15,13,44.83,10,52.63,4,1,6,2,6,3,2,16.67,0,1,2.09,0,0,1,Rémy Cabella,Nantes,72998,1647,France Ligue 1
0,3,0,8,88.89,10,90.91,1,100.0,1,0,74.18,18,90.0,2069,12,0,0,23,72,51,21,33,6,16,13,7,13,20,0,523,0,0,0.0,129,41.61,1,27,1,0,1,0,1,0.0,0,0,0.08,0,0,0,Anthony Lopes,Nantes,48535,1647,France Ligue 1
0,0,0,2,100.0,5,83.33,1,100.0,0,0,75.11,7,87.5,1440,1,0,0,16,62,33,28,26,3,18,6,9,6,4,0,329,0,0,0.0,78,42.86,0,23,0,0,0,0,0,0.0,0,0,,0,0,0,Yehvann Diouf,Nice,845183,1661,France Ligue 1
2,4,0,121,56.28,23,54.76,23,57.5,68,2,86.14,144,56.03,1669,32,29,20,21,0,0,0,11,5,0,0,0,0,197,2,845,18,0,0.0,53,66.25,30,24,29,2,29,8,10,6.9,1,3,2.29,0,1,0,Mamadou Sangare,RC Lens,1064697,1648,France Ligue 1
1,0,0,9,39.13,14,51.85,0,0.0,7,0,93.65,23,46.0,672,4,9,0,8,0,0,0,13,1,0,0,0,0,83,0,546,2,0,0.0,29,67.44,10,28,5,0,3,2,1,33.33,0,0,0.49,1,0,0,Eric Dier,AS Monaco,146101,1653,France Ligue 1
6,5,0,67,46.21,36,48.65,3,27.27,25,1,84.07,103,47.03,1683,40,32,21,21,0,0,0,16,3,0,0,0,0,203,6,797,27,7,23.33,63,75.9,14,24,20,7,38,19,10,15.79,0,3,7.02,0,1,1,Corentin Tolisso,Olympique Lyonnais,343067,1649,France Ligue 1
8,1,0,25,39.06,9,40.91,7,46.67,7,5,84.05,34,39.53,1321,11,15,9,21,0,0,0,16,1,0,0,0,0,100,8,253,19,2,10.53,6,60.0,4,7,7,9,35,21,2,22.86,1,6,8.92,0,0,0,Pierre-Emerick Aubameyang,Olympique de Marseille,51498,1641,France Ligue 1
4,1,0,68,48.23,4,33.33,30,52.63,17,3,87.42,72,47.06,1084,21,16,20,21,0,0,0,7,3,0,0,0,0,240,7,563,27,9,25.0,17,58.62,9,4,10,4,47,18,14,8.51,2,4,4.12,0,0,0,Khvicha Kvaratskhelia,Paris Saint-Germain,889259,1644,France Ligue 1
1,0,0,8,30.77,0,0.0,6,40.0,0,2,88.0,8,29.63,156,2,3,6,4,0,0,0,2,1,0,0,0,0,31,1,44,6,0,0.0,5,83.33,0,0,0,0,5,1,4,20.0,0,1,0.16,0,0,0,Allan Saint-Maximin,RC Lens,347010,1648,France Ligue 1
1,4,0,31,44.29,31,57.41,2,66.67,21,0,87.43,62,50.0,1277,8,21,5,16,0,0,0,15,2,0,0,0,0,97,0,737,5,0,0.0,33,45.83,15,77,12,1,6,2,3,16.67,0,0,0.81,0,1,0,Anthony Rouault,Stade Rennais,991479,1658,France Ligue 1
0,0,0,1,50.0,11,91.67,0,0.0,0,0,79.98,12,85.71,2083,4,0,0,24,84,56,26,42,7,11,11,13,11,13,0,663,1,0,0.0,133,44.78,0,22,1,0,0,0,0,0.0,0,0,,0,0,0,Jonathan Fischer,Metz,1004550,1651,France Ligue 1
1,4,0,52,59.09,5,50.0,4,57.14,39,2,80.29,57,58.16,1111,9,11,7,16,0,0,0,13,3,0,0,0,0,138,2,448,25,17,23.29,22,44.9,7,33,17,0,9,3,3,11.11,0,1,0.5,0,1,2,Przemysław Frankowski,Stade Rennais,286909,1658,France Ligue 1
1,1,0,11,40.74,2,66.67,0,0.0,10,2,92.41,13,43.33,795,1,1,4,13,0,0,0,6,3,0,0,0,0,255,2,779,12,1,9.09,34,68.0,8,6,7,3,13,4,3,7.69,1,1,1.02,0,1,0,Fabián Ruiz,Paris Saint-Germain,784655,1644,France Ligue 1
1,1,1,40,57.14,53,71.62,1,33.33,27,1,92.12,93,64.58,1707,12,21,4,21,0,0,0,21,0,0,0,0,0,67,1,1006,3,0,0.0,51,52.04,34,109,7,3,8,3,1,12.5,0,0,0.76,0,0,0,Gautier Lloris,Le Havre,287887,1662,France Ligue 1
0,2,0,70,47.95,23,46.0,12,37.5,36,6,83.04,93,47.45,2148,22,24,18,24,0,0,0,15,6,0,0,0,0,173,17,759,38,31,40.79,34,36.96,40,51,16,3,27,8,7,0.0,0,2,2.31,0,0,1,Matthieu Udol,RC Lens,787827,1648,France Ligue 1
0,2,0,31,53.45,17,70.83,3,50.0,15,2,92.4,48,58.54,1165,15,14,5,17,0,0,0,6,2,0,0,0,0,170,1,961,12,2,22.22,22,43.14,14,35,5,0,7,2,2,0.0,0,0,0.3,0,0,0,Lucas Hernández,Paris Saint-Germain,352370,1644,France Ligue 1
3,6,0,36,43.9,116,64.44,0,0.0,23,2,85.77,152,58.02,2160,14,28,5,24,0,0,0,25,3,0,0,0,0,82,1,1049,9,0,0.0,71,45.22,23,152,17,2,30,9,5,10.0,2,4,2.78,0,0,0,Charlie Cresswell,Toulouse,1020744,1681,France Ligue 1
1,3,0,30,49.18,38,66.67,2,100.0,25,0,87.5,68,57.63,1080,3,17,2,12,0,0,0,20,1,0,0,0,0,51,0,714,2,0,0.0,25,36.23,17,84,12,1,8,2,2,12.5,1,4,0.77,0,2,0,Mohammed Salisu,AS Monaco,946158,1653,France Ligue 1
5,2,0,75,46.58,2,11.76,16,40.0,33,3,84.52,77,43.26,1738,26,16,28,22,0,0,0,27,1,0,0,0,0,284,7,666,28,7,26.92,31,75.61,14,11,20,3,35,12,12,14.29,1,6,5.09,1,0,0,Maghnes Akliouche,AS Monaco,1130939,1653,France Ligue 1
8,1,0,45,42.86,7,25.0,14,43.75,18,1,76.71,52,39.1,1277,13,17,16,21,0,0,0,21,1,0,0,0,0,117,4,359,25,19,28.36,33,67.35,14,17,9,3,43,15,11,18.6,2,2,5.8,0,0,1,Pablo Pagis,Lorient,1174462,1656,France Ligue 1
2,0,0,24,51.06,1,20.0,12,63.16,7,0,88.13,25,48.08,422,5,4,9,5,0,0,0,4,2,0,0,0,0,40,0,141,2,0,0.0,4,66.67,2,2,5,0,3,2,0,66.67,0,1,0.82,0,1,0,Noah Nartey,Olympique Lyonnais,1195782,1649,France Ligue 1
10,2,0,46,42.2,12,25.0,14,50.0,19,3,75.5,58,36.94,1258,13,25,10,21,0,0,0,11,3,0,0,0,0,88,4,225,14,3,21.43,6,46.15,7,10,14,4,36,15,9,27.78,0,4,7.46,0,0,0,Pavel Šulc,Olympique Lyonnais,957604,1649,France Ligue 1
1,1,0,44,68.75,35,51.47,3,60.0,36,0,91.22,79,59.85,1954,6,14,0,23,0,0,0,20,3,0,0,0,0,26,0,935,3,0,0.0,33,44.0,25,132,6,0,5,2,1,20.0,0,1,0.22,0,0,0,Ousmane Camara,Angers,1049538,1684,France Ligue 1
4,0,0,64,45.39,0,0.0,20,40.0,23,2,85.58,64,44.44,842,21,17,22,16,0,0,0,8,2,0,0,0,0,199,3,445,19,7,18.92,12,52.17,6,1,8,6,34,14,7,11.76,4,0,5.81,1,0,0,Désiré Doué,Paris Saint-Germain,1154605,1644,France Ligue 1
2,2,0,45,47.37,4,44.44,17,53.13,14,3,91.34,49,47.12,1103,15,14,14,20,0,0,0,8,3,0,0,0,0,304,10,696,41,28,43.08,47,68.12,2,5,8,1,32,12,9,6.25,1,2,2.3,2,3,1,Kang-in Lee,Paris Saint-Germain,917087,1644,France Ligue 1
2,1,1,38,60.32,24,58.54,5,62.5,20,0,85.82,62,59.62,1153,13,17,2,13,0,0,0,8,3,0,0,0,0,74,0,563,1,2,40.0,29,40.85,14,58,5,2,9,2,2,22.22,0,0,1.21,1,0,0,Ismaelo Ganiou,RC Lens,1408080,1648,France Ligue 1
1,0,0,82,63.08,8,38.1,21,75.0,47,5,81.93,90,59.6,1740,14,16,11,21,0,0,0,35,4,0,0,0,0,212,8,757,46,43,27.56,42,50.6,30,50,17,1,15,3,5,6.67,0,1,0.86,0,2,1,Jonathan Clauss,Nice,821728,1661,France Ligue 1
1,7,0,42,56.0,39,68.42,4,57.14,20,1,85.61,81,61.36,1786,19,18,2,20,0,0,0,30,5,0,0,0,0,91,1,982,9,0,0.0,112,53.33,17,159,10,0,8,4,2,12.5,0,1,0.46,0,3,0,Chidozie Awaziem,Nantes,804764,1647,France Ligue 1
