goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
2,0,0,7,46.67,5,33.33,1,50.0,0,0,78.57,12,40.0,190,7,3,3,3,0,0,0,2,0,0,0,0,0,4,0,22,1,0,0.0,0,0.0,3,1,1,2,6,4,0,33.33,0,3,1.92,0,0,0,Andrea Belotti,Cagliari,220223,2719,Italy Serie A
2,0,0,35,70.0,1,100.0,18,75.0,6,0,92.59,36,70.59,485,11,1,4,9,0,0,0,8,1,0,0,0,0,60,2,150,11,6,20.0,3,100.0,1,3,4,0,5,2,2,40.0,0,1,0.45,0,0,0,Manor Solomon,Fiorentina,862223,2693,Italy Serie A
0,2,0,23,63.89,3,100.0,6,66.67,9,1,92.12,26,66.67,342,8,3,2,8,0,0,0,1,1,0,0,0,0,61,2,304,12,4,36.36,9,56.25,6,4,5,0,1,0,0,0.0,0,0,0.03,0,1,0,Nicolò Rovella,Lazio,937324,2699,Italy Serie A
4,6,0,36,54.55,68,66.02,1,100.0,27,1,89.84,104,61.54,1813,10,28,2,21,0,0,0,27,2,0,0,0,0,57,1,1097,5,0,0.0,56,49.56,14,154,5,5,17,10,4,23.53,1,2,3.08,1,0,0,Leo Østigård,Genoa,879746,2713,Italy Serie A
1,3,0,36,61.02,57,69.51,2,50.0,20,1,91.98,93,65.96,1360,14,17,3,16,0,0,0,11,1,0,0,0,0,84,0,1170,3,0,0.0,29,42.03,18,54,2,0,8,1,3,12.5,0,2,0.68,0,1,0,Amir Rrahmani,Napoli,332155,2714,Italy Serie A
1,5,0,72,50.0,8,34.78,16,47.06,38,5,85.87,80,47.9,1771,18,27,14,24,0,0,0,12,2,0,0,0,0,394,12,1009,55,27,35.53,55,62.5,3,7,17,3,25,3,10,4.0,0,3,2.55,0,1,1,Nicolò Barella,Inter,363856,2697,Italy Serie A
2,2,0,38,47.5,23,56.1,5,29.41,28,0,88.15,61,50.41,1027,5,21,4,14,0,0,0,5,2,0,0,0,0,131,0,580,8,0,0.0,21,45.65,23,44,11,3,12,5,6,16.67,1,2,1.98,0,0,0,Giorgio Scalvini,Atalanta,1012176,2686,Italy Serie A
0,2,0,2,100.0,15,83.33,0,0.0,0,0,65.63,17,85.0,2520,8,0,0,28,95,59,35,33,5,39,9,9,10,28,0,529,1,0,0.0,156,36.45,0,23,0,0,0,0,0,0.0,0,0,,2,0,0,Elia Caprile,Cagliari,947954,2719,Italy Serie A
1,5,1,69,58.97,20,41.67,2,33.33,59,1,87.0,89,53.94,1887,9,26,2,23,0,0,0,13,4,0,0,0,0,339,1,1158,17,3,30.0,69,53.49,14,50,17,1,13,4,3,7.69,0,0,0.74,0,0,1,Marten de Roon,Atalanta,100389,2686,Italy Serie A
2,1,0,44,57.89,12,50.0,7,63.64,24,0,85.16,56,56.0,1211,14,13,7,20,0,0,0,10,2,0,0,0,0,223,1,740,15,11,31.43,109,70.32,9,25,9,1,11,2,4,18.18,0,0,0.46,0,0,0,Nikola Moro,Bologna,814882,2685,Italy Serie A
4,1,0,36,46.75,30,62.5,7,50.0,16,1,84.7,66,52.8,977,13,11,16,12,0,0,0,11,0,0,0,0,0,98,1,443,10,4,26.67,8,50.0,11,11,10,1,19,8,2,21.05,1,0,2.22,0,1,0,Frank Anguissa,Napoli,787941,2714,Italy Serie A
0,2,0,19,63.33,37,68.52,1,100.0,8,0,94.53,56,66.67,982,10,11,0,13,0,0,0,8,3,0,0,0,0,41,0,605,2,1,100.0,17,47.22,15,68,1,1,3,1,0,0.0,1,2,0.37,0,0,0,Francesco Acerbi,Inter,126816,2697,Italy Serie A
