goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
6,0,0,62,52.1,13,65.0,5,21.74,27,6,85.3,75,53.96,1334,30,16,14,21,0,0,0,11,2,0,0,0,0,284,7,708,36,5,22.73,25,55.56,10,15,9,6,54,18,14,11.11,4,1,6.05,0,1,0,Dani Olmo,Barcelona,789071,2817,Spain La Liga
0,2,0,24,68.57,9,56.25,3,75.0,20,0,89.73,33,64.71,936,1,8,1,13,0,0,0,6,3,0,0,0,0,45,0,507,0,1,100.0,31,52.54,16,56,1,0,2,0,1,0.0,0,0,0.12,0,2,0,Juan Foyth,Villarreal,873189,2819,Spain La Liga
0,0,0,3,60.0,5,83.33,0,0.0,0,0,74.63,8,72.73,2250,4,0,0,25,57,39,18,18,5,16,11,10,11,11,0,553,0,0,0.0,172,47.91,0,19,2,0,0,0,0,0.0,0,0,,0,0,0,Jan Oblak,Atlético Madrid,69768,2836,Spain La Liga
3,1,0,86,56.95,4,30.77,24,63.16,35,8,90.71,90,54.88,1748,27,20,13,27,0,0,0,15,1,0,0,0,0,436,12,1025,59,34,30.36,58,70.73,8,8,19,3,42,16,12,7.14,0,3,4.32,1,1,0,Arda Güler,Real Madrid,1091116,2829,Spain La Liga
1,1,0,35,57.38,49,65.33,1,100.0,29,0,94.66,84,61.76,1836,5,18,1,21,0,0,0,21,2,0,0,0,0,172,1,1720,4,0,0.0,40,55.56,21,77,10,0,9,2,3,11.11,0,0,0.51,0,1,0,Pau Cubarsí,Barcelona,1402913,2817,Spain La Liga
10,2,0,74,49.01,29,30.53,23,53.49,19,3,76.65,103,41.87,1978,33,16,30,23,0,0,0,28,2,0,0,0,0,156,10,384,33,2,14.29,11,52.38,2,19,12,11,62,27,14,16.13,0,11,10.71,0,0,0,Mikel Oyarzabal,Real Sociedad,823622,2824,Spain La Liga
2,4,0,49,47.57,13,56.52,3,37.5,34,2,92.69,62,49.21,1501,12,15,13,24,0,0,0,10,5,0,0,0,0,291,2,1217,20,7,31.82,73,70.87,15,21,21,0,8,3,3,25.0,0,0,0.37,0,0,0,Koke,Atlético Madrid,84539,2836,Spain La Liga
5,2,0,67,51.54,7,41.18,24,55.81,29,7,87.3,74,50.34,1184,14,17,13,20,0,0,0,13,1,0,0,0,0,225,12,543,25,6,19.35,24,64.86,6,4,15,5,48,17,11,10.42,2,4,4.94,0,2,0,Fermín López,Barcelona,1153270,2817,Spain La Liga
6,2,0,64,41.03,11,28.21,17,50.0,29,4,86.33,75,38.46,2099,19,23,26,26,0,0,0,25,6,0,0,0,0,372,6,1061,57,26,27.08,72,67.29,26,18,27,2,35,15,14,17.14,1,9,3.28,0,0,2,Pablo Fornals,Real Betis,816763,2816,Spain La Liga
1,5,0,80,54.42,14,50.0,18,72.0,35,6,76.86,94,53.71,1678,27,16,27,25,0,0,0,22,5,0,0,0,0,194,9,538,59,48,27.12,45,42.06,14,20,17,3,29,9,9,3.45,0,2,1.69,0,1,1,Edu Expósito,Espanyol,877262,2814,Spain La Liga
0,0,0,2,25.0,0,0.0,0,0.0,2,1,82.95,2,20.0,160,0,2,0,2,0,0,0,0,0,0,0,0,0,42,2,73,7,4,33.33,1,33.33,2,2,2,0,2,1,0,0.0,0,0,0.16,0,0,1,Yéremy Pino,Villarreal,984624,2819,Spain La Liga
0,0,0,2,100.0,0,0.0,0,0.0,0,1,73.68,2,66.67,30,2,0,0,1,0,0,0,0,0,0,0,0,0,7,1,14,2,2,100.0,0,0.0,0,0,0,0,2,0,2,0.0,0,0,0.08,0,0,0,Isco,Real Betis,103417,2816,Spain La Liga
0,0,0,1,100.0,0,0.0,0,0.0,0,0,64.1,1,100.0,136,1,0,0,2,4,3,0,6,0,0,0,1,0,2,0,25,0,0,0.0,8,36.36,0,2,0,0,0,0,0,0.0,0,0,,0,0,0,Vladyslav Krapyvtsov,Girona FC,1521733,24264,Spain La Liga
0,1,0,2,66.67,2,100.0,0,0.0,0,0,75.11,4,80.0,720,2,0,0,8,26,15,10,6,3,2,6,3,6,3,0,166,0,0,0.0,43,43.88,0,7,1,0,0,0,0,0.0,0,0,,0,0,0,Pau López,Real Betis,548848,2816,Spain La Liga
3,3,0,92,46.94,11,35.48,42,50.6,26,4,81.77,103,45.37,1600,24,16,31,25,0,0,0,21,3,0,0,0,0,229,9,471,36,16,28.57,10,47.62,11,19,16,6,41,14,14,7.32,2,10,5.76,0,0,1,Nicolas Pépé,Villarreal,593526,2819,Spain La Liga
1,0,0,45,54.88,57,74.03,5,55.56,34,0,82.16,102,64.15,1218,9,22,5,15,0,0,0,21,3,0,0,0,0,90,0,737,5,1,14.29,41,31.78,28,102,6,0,10,5,3,10.0,0,0,0.86,0,1,0,Kike Salas,Sevilla,1097719,2833,Spain La Liga
2,0,0,89,62.68,5,35.71,27,50.94,25,3,79.52,94,60.26,1183,37,6,11,18,0,0,0,16,1,0,0,0,0,131,5,299,27,8,25.0,5,45.45,7,9,10,2,25,12,7,8.0,1,11,2.28,0,0,1,Takefusa Kubo,Real Sociedad,880218,2824,Spain La Liga
2,5,1,74,53.62,26,54.17,15,48.39,34,2,90.4,100,53.76,1971,26,16,16,23,0,0,0,14,4,0,0,0,0,462,1,1281,24,3,10.34,32,47.76,33,55,16,0,8,2,3,25.0,0,4,0.31,0,1,1,Álvaro Carreras,Real Madrid,1085081,2829,Spain La Liga
