goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
0.24,0.0,0.0,3.18,52.0,2.2,60.0,0.24,50.0,2.2,0.0,87.32,5.38,55.0,90,0.73,1.47,0.0,1.47,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,7.09,0.0,45.49,0.0,0.0,0.0,0.49,28.57,1.22,3.67,1.22,0.0,0.24,0.24,0.0,100.0,0.0,0.0,0.02,0.0,0.24,0.0,Aarón Anselmino,Borussia Dortmund,1500263,2673,Germany Bundesliga
0.19,0.19,0.0,1.31,51.92,2.72,61.54,0.34,70.0,0.92,0.1,90.68,4.02,58.04,90,0.05,0.87,0.0,1.02,0.0,0.0,0.0,1.16,0.1,0.0,0.0,0.0,0.0,11.4,0.1,81.61,0.34,0.1,25.0,3.64,44.38,0.87,4.95,0.24,0.1,1.12,0.34,0.19,17.39,0.0,0.05,0.09,0.0,0.05,0.0,Edmond Tapsoba,Bayer 04 Leverkusen,883262,2681,Germany Bundesliga
0.11,0.22,0.0,1.46,47.37,1.89,67.31,0.11,50.0,1.03,0.05,96.13,3.35,56.88,90,0.32,1.14,0.22,1.14,0.0,0.0,0.0,0.81,0.11,0.0,0.0,0.0,0.0,9.68,0.05,79.24,0.27,0.0,0.0,1.89,62.5,1.3,5.19,0.32,0.05,0.43,0.27,0.05,25.0,0.05,0.0,0.04,0.0,0.05,0.0,Jonathan Tah,FC Bayern München,227672,2672,Germany Bundesliga
0.43,0.43,0.0,3.62,52.08,2.61,54.55,0.43,60.0,1.74,0.0,86.22,6.23,53.09,90,1.45,1.45,0.29,1.3,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,8.99,0.0,56.23,0.0,0.0,0.0,3.48,48.98,2.32,5.22,1.45,0.0,0.72,0.58,0.0,60.0,0.0,0.0,0.36,0.0,0.0,0.0,Emre Can,Borussia Dortmund,138156,2673,Germany Bundesliga
0.04,0.12,0.0,2.1,65.82,4.08,69.66,0.12,75.0,1.29,0.0,90.06,6.17,68.3,90,0.77,0.52,0.12,1.01,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,6.7,0.04,62.52,0.24,0.0,0.0,2.62,42.76,1.05,7.47,0.4,0.16,0.73,0.32,0.16,5.56,0.0,0.08,0.09,0.04,0.04,0.0,Willi Orbán,RB Leipzig,136924,36360,Germany Bundesliga
0.0,0.0,0.0,0.24,100.0,0.2,100.0,0.0,0.0,0.0,0.04,76.08,0.44,100.0,90,0.28,0.0,0.0,1.0,3.0,2.28,0.64,1.28,0.08,0.96,0.76,0.44,0.8,1.12,0.04,26.84,0.12,0.0,0.0,6.48,44.26,0.04,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.08,0.0,0.0,Alexander Nübel,VfB Stuttgart,584722,2677,Germany Bundesliga
0.87,0.23,0.0,1.68,31.18,1.39,39.34,0.23,36.36,0.75,0.23,73.32,3.07,34.42,90,0.75,1.39,1.33,1.21,0.0,0.0,0.0,1.33,0.12,0.0,0.0,0.0,0.0,7.87,0.23,17.64,1.39,0.0,0.0,0.69,57.14,0.23,0.29,0.58,0.69,5.09,2.02,1.21,17.05,0.12,1.21,0.64,0.0,0.0,0.12,Deniz Undav,VfB Stuttgart,794298,2677,Germany Bundesliga
0.67,0.22,0.0,3.79,41.46,0.56,50.0,0.67,31.58,1.12,0.33,81.91,4.35,42.39,90,2.01,1.34,1.9,1.56,0.0,0.0,0.0,1.34,0.33,0.0,0.0,0.0,0.0,13.83,0.45,35.35,1.45,0.33,21.43,1.67,65.22,0.11,0.33,0.89,0.0,3.01,1.12,1.0,22.22,0.0,0.0,0.29,0.0,0.0,0.0,Can Uzun,Eintracht Frankfurt,1440948,2674,Germany Bundesliga
0.05,0.25,0.0,2.43,55.68,0.6,48.0,0.2,57.14,1.04,0.2,84.5,3.03,53.98,90,1.24,0.84,0.3,1.04,0.0,0.0,0.0,1.79,0.2,0.0,0.0,0.0,0.0,7.1,0.55,41.95,1.39,1.29,33.33,3.77,48.41,1.19,3.57,0.69,0.0,0.6,0.25,0.15,8.33,0.0,0.0,0.02,0.0,0.05,0.0,Maximilian Arnold,VfL Wolfsburg,147289,2524,Germany Bundesliga
0.0,0.33,0.0,2.22,61.82,2.81,63.24,0.2,60.0,1.76,0.0,91.7,5.03,62.6,90,0.26,0.52,0.65,1.24,0.0,0.0,0.0,1.11,0.13,0.0,0.0,0.0,0.0,7.25,0.0,72.22,0.13,0.07,33.33,2.55,52.0,1.31,6.01,0.13,0.07,0.59,0.2,0.2,0.0,0.0,0.0,0.07,0.07,0.0,0.0,Loïc Badé,Bayer 04 Leverkusen,1006489,2681,Germany Bundesliga
